,news_headline,news_article,news_category
0,Samsung introduces Galaxy S20 Fan Edition in variety of colors,"Samsung has introduced Galaxy S20 FE in a variety of colors that it said has been created after listening to fans and leaves compromise behind. Samsung added that whether you're a fan of colors, photography or gaming, the phone has it all. Sporting punchy colors, the phone has a Triple Lens Camera, a 120Hz refresh rate and a 4500mAh battery.",technology
1,LG Washing Machine range offers Steam™ Technology for germ-free clothes,LG Washing Machine Range with LG Steam™ Technology pre-treats tough stains and germs before washing by applying intense heat. Steam Wash gives hygiene by removing 99.9%* Germs and Allergens. LG Washing Machines are also equipped with ThinQ technology that helps download up to 20 additional wash programs and helps control your washing machine through Wi-Fi from anywhere and anytime.,technology
2,"Attenborough hits 1M Insta followers in 4 hrs 44 mins, breaks Aniston's record","British naturalist and broadcaster David Attenborough has broken actor Jennifer Aniston's record for the fastest time to reach 1 million followers on Instagram. The 94-year-old achieved the feat in 4 hours and 44 minutes while Aniston reached the benchmark in 5 hours and 16 minutes after joining last October. Attenborough, who joined Instagram on Thursday, currently has 3.6 million followers.",technology
3,"Microsoft made a secret Windows XP theme similar to Apple's, reveals leak","An alleged leak of Microsoft's Windows XP source code revealed unreleased themes from XP's early development, including a theme nicknamed 'Candy'. It was found similar to Apple's Aqua design language from OS X (now macOS). While the theme was left incomplete, the Windows XP Start button and various buttons and UI elements were found similar to Apple's Aqua.",technology
4,FarmVille game to shut down 11 years after its launch,"FarmVille, the agriculture-simulation game that became popular on Facebook, will shut down on December 31. Launched in 2009, the game is shutting down as a result of Adobe's decision to stop distributing and updating Flash Player for all web browsers and Facebook stopping support of Flash games. ""A great big thank you for farming with us,"" FarmVille posted on Facebook.",technology
5,"Windows XP source code leaks online, company investigates matter","Microsoft's source code for Windows XP and Windows Server 2003 has leaked online, media reports said after verifying the legitimacy of the leaked material. It's the first time source code for Windows XP has leaked publicly and it appeared in the form of a 42.9GB torrent file posted on 4chan. A Microsoft spokesperson said the company is ""investigating the matter.""",technology
6,"Bengaluru Airport, Virgin Hyperloop sign MoU for 10-minute route to city centre","Bangalore International Airport Limited (BIAL) and Virgin Hyperloop on Sunday signed a Memorandum of Understanding (MoU) to conduct a feasibility study for a hyperloop corridor from Kempegowda Airport to the city. The corridor could reduce the travel time to 10 minutes, said Virgin Hyperloop. There have also been talks of hyperloop routes between Mumbai-Pune and Vijayawada-Amravati in the past.",technology
7,Thanks for great work during one of Tesla's 'toughest quarters': Musk to staff,"Tesla CEO Elon Musk thanked his employees for ""great work"", calling the third quarter ""definitely one of Tesla's toughest quarters in global logistics."" Last week, Musk wrote an e-mail to employees urging them to make and sell as many electric cars as possible before September 30. ""We have a shot at a record quarter for vehicle deliveries,"" he had said.",technology
8,Pics can be misused for revenge porn: Pune Police on 'couple challenge',"Pune City Police has urged people to be cautious while posting pictures with their partners for the 'couple challenge' on social media, warning that they can be ""misused"". ""Think twice before you post a picture with your partner. A 'cute' challenge can go wrong if not cautious,"" it tweeted. Several couples are posting their pictures as part of the challenge.",technology
9,England's COVID-19 app fails to accept test results from state-run labs,England's COVID-19 smartphone app failed to accept test results processed in the country's state-run laboratories due to a flaw. The app's Twitter account wrote that it couldn't link to test results taken in Public Health England (PHE) laboratories or at the National Health Service (NHS). Users had complained of being asked a code while trying to log their results.,technology
